ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:23,,,29170,ValidSlopeSaturation,6214833
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:24,,,36480,ValidSlopeSaturation,6215311
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:1,,,39750,ValidSlopeSaturation,6217146
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:2,,,36640,ValidSlopeSaturation,6217638
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:3,,,12150,ValidSlopeSaturation,6218119
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:4,,,8684,ValidSlopeSaturation,6218606
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:5,,,18420,ValidSlopeSaturation,6219091
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:6,,,18930,ValidSlopeSaturation,6219573
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:7,,,25920,ValidSlopeSaturation,6220056
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:8,,,27210,ValidSlopeSaturation,6220535
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:9,,,28420,ValidSlopeSaturation,6221016
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:10,,,32180,ValidSlopeSaturation,6221492
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:11,,,32940,ValidSlopeSaturation,6222037
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:12,,,32190,ValidSlopeSaturation,6222527
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:13,,,30040,ValidSlopeSaturation,6223008
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:14,,,32980,ValidSlopeSaturation,6223501
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:15,,,32570,ValidSlopeSaturation,6223977
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:16,,,32400,ValidSlopeSaturation,6224464
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:17,,,28910,ValidSlopeSaturation,6224953
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:18,,,32820,ValidSlopeSaturation,6225444
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:19,,,32130,ValidSlopeSaturation,6225924
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:20,,,33740,ValidSlopeSaturation,6226403
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:21,,,33630,ValidSlopeSaturation,6226887
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:22,,,31050,ValidSlopeSaturation,6227376
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:23,,,34870,ValidSlopeSaturation,6227868
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:24,,,35220,ValidSlopeSaturation,6228364
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:1,,,37830,ValidSlopeSaturation,6230200
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:2,,,34430,ValidSlopeSaturation,6230680
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:3,,,9695,ValidSlopeSaturation,6231166
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:4,,,9735,ValidSlopeSaturation,6231663
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:5,,,18710,ValidSlopeSaturation,6232142
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:6,,,15990,ValidSlopeSaturation,6232640
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:7,,,27350,ValidSlopeSaturation,6233135
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:8,,,29510,ValidSlopeSaturation,6233628
26e58645-ceeb-4412-a02e-407ca82df1b3,0,F:9,,,28320,ValidSlopeSaturation,6234115
