ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:18,,,1300,ValidSlopeSaturation,4086251
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:19,,,1560,ValidSlopeSaturation,4086726
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:20,,,1270,ValidSlopeSaturation,4087205
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:21,,,1710,ValidSlopeSaturation,4087685
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:22,,,1370,ValidSlopeSaturation,4088168
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:23,,,1440,ValidSlopeSaturation,4088652
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:24,,,1650,ValidSlopeSaturation,4089144
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:1,,,1730,ValidSlopeSaturation,4090978
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:2,,,1560,ValidSlopeSaturation,4091470
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:3,,,2050,ValidSlopeSaturation,4091953
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:4,,,1580,ValidSlopeSaturation,4092446
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:5,,,1750,ValidSlopeSaturation,4092925
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:6,,,1650,ValidSlopeSaturation,4093415
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:7,,,1530,ValidSlopeSaturation,4093894
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:8,,,1680,ValidSlopeSaturation,4094386
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:9,,,1400,ValidSlopeSaturation,4094869
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:10,,,1350,ValidSlopeSaturation,4095358
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:11,,,1530,ValidSlopeSaturation,4095837
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:12,,,1440,ValidSlopeSaturation,4096394
26e58645-ceeb-4412-a02e-407ca82df1b3,0,E:13,,,1450,ValidSlopeSaturation,4096881
